#,Name,Type,Attack,Defense,HP,Catch,Flee,Fast Moves,Charge Moves
151,Mew,Psychic,210,210,225,100%,0%,Shadow ClawFrost BreathPoundCutPoison JabSteel WingRock SmashCharge BeamVolt SwitchDragon TailInfestationStruggle BugSnarlWaterfall,Hyper BeamDark PulseStone EdgeFlash CannonIce BeamBlizzardLow SweepPsyshockAncient PowerRock SlideThunderThunderboltDragon ClawDazzling GleamBulldozeFlame ChargePsychicSolar BeamFocus BlastWild ChargeGyro BallOverheatGrass KnotEnergy BallSurf
152,Chikorita,Grass,92,122,128,20%,10%,Vine WhipTackle,Body SlamGrass KnotEnergy Ball
153,Bayleef,Grass,122,155,155,12.5%,7%,Razor LeafTackle,Ancient PowerGrass KnotEnergy Ball
154,Meganium,Grass,168,202,190,5%,5%,Vine WhipRazor Leaf,EarthquakePetal BlizzardSolar BeamFrenzy Plant (Community Day)
155,Cyndaquil,Fire,116,93,118,20%,10%,EmberTackle,FlamethrowerFlame ChargeSwift
156,Quilava,Fire,158,126,151,12.5%,7%,EmberTackle,FlamethrowerDigFlame Charge
157,Typhlosion,Fire,223,173,186,5%,5%,EmberShadow ClawIncinerate,Fire BlastSolar BeamOverheatBlast Burn (Community Day)
158,Totodile,Water,117,109,137,20%,10%,ScratchWater Gun,Aqua JetWater PulseCrunch
159,Croconaw,Water,150,142,163,12.5%,7%,ScratchWater Gun,Ice PunchWater PulseCrunch
160,Feraligatr,Water,205,188,198,5%,5%,BiteWater Gun (legacy)WaterfallIce Fang,Ice BeamHydro PumpCrunchHydro Cannon (Community Day)
161,Sentret,Normal,79,73,111,50%,20%,Quick AttackScratch,DigBrick BreakGrass Knot
162,Furret,Normal,148,125,198,15%,7%,Sucker PunchQuick Attack,Hyper BeamDigBrick Break
163,Hoothoot,Normal Flying,67,88,155,50%,15%,PeckFeint Attack,Aerial AceSky AttackNight Shade
164,Noctowl,Normal Flying,145,156,225,15%,7%,Wing AttackExtrasensory,Shadow BallPsychicSky AttackNight Shade
165,Ledyba,Bug Flying,72,118,120,50%,20%,Bug BiteTackle,Aerial AceSwiftSilver Wind
166,Ledian,Bug Flying,107,179,146,15%,7%,Bug BiteStruggle Bug,Aerial AceBug BuzzSilver Wind
167,Spinarak,Bug Poison,105,73,120,50%,20%,Bug BitePoison Sting,Night SlashCross PoisonSignal Beam
168,Ariados,Bug Poison,161,124,172,15%,7%,Poison StingInfestation,MegahornShadow SneakCross PoisonLunge
169,Crobat,Poison Flying,194,178,198,10%,5%,BiteAir Slash,Poison FangShadow BallCross PoisonSludge BombAir CutterFrustration (Shadow)Return (Shadow)
170,Chinchou,Water Electric,106,97,181,40%,10%,SparkBubble,Bubble BeamThunderboltWater Pulse
171,Lanturn,Water Electric,146,137,268,15%,7%,SparkWater GunCharge Beam,ThunderThunderboltHydro Pump
172,Pichu,Electric,77,53,85,—,5%,Thunder Shock,Thunder PunchThunderboltDisarming Voice
173,Cleffa,Fairy,75,79,137,—,5%,PoundZen Headbutt,PsyshockSignal BeamPsychic (legacy)Body Slam (legacy)Grass Knot
174,Igglybuff,Normal Fairy,69,32,207,—,5%,PoundFeint Attack,Shadow BallPsychicBody Slam (legacy)Wild Charge
175,Togepi,Fairy,67,116,111,—,5%,PeckZen Headbutt (legacy)Hidden Power,PsyshockAncient PowerDazzling Gleam
176,Togetic,Fairy Flying,139,181,146,20%,5%,Zen Headbutt (legacy)Steel Wing (legacy)ExtrasensoryHidden Power,Aerial AceAncient PowerDazzling Gleam
177,Natu,Psychic Flying,134,89,120,40%,15%,PeckQuick Attack,Drill PeckPsyshockNight Shade
178,Xatu,Psychic Flying,192,146,163,15%,7%,Feint AttackAir Slash,Aerial AceOminous WindFuture Sight
179,Mareep,Electric,114,79,146,50%,10%,Thunder ShockTackle,DischargeThunderboltBody SlamFrustration (Shadow)Return (Shadow)
180,Flaaffy,Electric,145,109,172,25%,7%,TackleCharge Beam,DischargePower GemThunderboltFrustration (Shadow)Return (Shadow)
181,Ampharos,Electric,211,169,207,12.5%,5%,Charge BeamVolt Switch,Power GemThunder PunchThunderDragon Pulse (Community Day)Focus BlastZap CannonFrustration (Shadow)Return (Shadow)
182,Bellossom,Grass,169,186,181,5%,5%,Razor LeafAcidBullet Seed,Petal BlizzardDazzling GleamLeaf BladeFrustration (Shadow)Return (Shadow)
183,Marill,Water Fairy,37,93,172,50%,10%,TackleBubble,Bubble BeamAqua TailBody Slam
184,Azumarill,Water Fairy,112,152,225,15%,7%,BubbleRock Smash,Ice BeamPlay RoughHydro Pump
185,Sudowoodo,Rock,167,176,172,12.5%,5%,Rock ThrowCounter,EarthquakeStone EdgeRock TombRock Slide
186,Politoed,Water,174,179,207,10%,5%,Mud ShotBubble,Earthquake (legacy)BlizzardHydro PumpSurfWeather Ball - WaterFrustration (Shadow)Return (Shadow)
187,Hoppip,Grass Flying,67,94,111,50%,12%,TackleBullet Seed,Seed BombDazzling GleamGrass KnotFrustration (Shadow)Return (Shadow)
188,Skiploom,Grass Flying,91,120,146,25%,7%,TackleBullet Seed,Dazzling GleamGrass KnotEnergy BallFrustration (Shadow)Return (Shadow)
189,Jumpluff,Grass Flying,118,183,181,12.5%,5%,InfestationBullet Seed,Aerial AceDazzling GleamSolar BeamEnergy BallFrustration (Shadow)Return (Shadow)Acrobatics (Community Day)
190,Aipom,Normal,136,112,146,20%,9%,ScratchAstonish,Aerial AceLow SweepSwiftFrustration (Shadow)Return (Shadow)
191,Sunkern,Grass,55,55,102,50%,9%,Razor LeafCut,Seed BombGrass KnotEnergy Ball
192,Sunflora,Grass,185,135,181,10%,7%,Razor LeafBullet Seed,Petal BlizzardSludge BombSolar BeamLeaf Storm
193,Yanma,Bug Flying,154,94,163,30%,10%,Wing AttackQuick Attack,Aerial AceAncient PowerSilver Wind
194,Wooper,Water Ground,75,66,146,40%,10%,Mud ShotWater Gun,DigMud BombBody SlamFrustration (Shadow)Return (Shadow)
195,Quagsire,Water Ground,152,143,216,15%,7%,Mud ShotWater Gun,EarthquakeStone EdgeSludge BombAcid SprayFrustration (Shadow)Return (Shadow)
196,Espeon,Psychic,261,175,163,12.5%,5%,Zen HeadbuttConfusion,PsybeamShadow Ball (Community Day)PsychicFuture SightLast Resort (Community Day)
197,Umbreon,Dark,126,240,216,12.5%,5%,Feint AttackSnarl,Dark PulsePsychic (Community Day)Foul PlayLast Resort (Community Day)
198,Murkrow,Dark Flying,175,87,155,20%,10%,PeckFeint Attack,Dark PulseDrill PeckFoul PlayFrustration (Shadow)Return (Shadow)
199,Slowking,Water Psychic,177,180,216,10%,5%,Water GunConfusion,BlizzardFire BlastPsychicFrustration (Shadow)Return (Shadow)
199,Slowking Galarian Slowking,Poison Psychic,190,180,216,10%,5%,AcidConfusionHex,Shadow BallSludge WaveFuture Sight
200,Misdreavus,Ghost,167,154,155,30%,7%,AstonishHex,Dark PulseShadow SneakOminous WindFrustration (Shadow)Return (Shadow)
201,Unown,Psychic,136,91,134,30%,10%,Hidden Power,Struggle
202,Wobbuffet,Psychic,60,106,382,25%,7%,SplashCounterCharm,Mirror CoatFrustration (Shadow)Return (Shadow)
203,Girafarig,Normal Psychic,182,133,172,30%,7%,TackleConfusion,ThunderboltPsychicMirror Coat
204,Pineco,Bug,108,122,137,40%,12%,Bug BiteTackle,Rock TombSand TombGyro BallFrustration (Shadow)Return (Shadow)
205,Forretress,Bug Steel,161,205,181,15%,7%,Bug BiteStruggle Bug,EarthquakeRock TombSand TombHeavy SlamMirror ShotFrustration (Shadow)Return (Shadow)
206,Dunsparce,Normal,131,128,225,30%,20%,BiteAstonish,DigDrill RunRock Slide
207,Gligar,Ground Flying,143,184,163,20%,7%,Fury CutterWing Attack,DigAerial AceNight SlashFrustration (Shadow)Return (Shadow)
208,Steelix,Steel Ground,148,272,181,10%,5%,Dragon TailIron TailThunder Fang,EarthquakeHeavy SlamCrunchFrustration (Shadow)Return (Shadow)
209,Snubbull,Fairy,137,85,155,40%,10%,BiteTackle,Dazzling GleamBrick BreakCrunch
210,Granbull,Fairy,212,131,207,15%,8%,BiteSnarlCharm,Play RoughClose CombatCrunch
211,Qwilfish,Water Poison,184,138,163,30%,8%,Water GunPoison Sting,Ice BeamAqua TailSludge WaveAcid SprayFell Stinger
212,Scizor,Bug Steel,236,181,172,5%,5%,Fury CutterBullet Punch,Night SlashIron HeadX-ScissorFrustration (Shadow)Return (Shadow)
213,Shuckle,Bug Rock,17,396,85,30%,7%,Rock ThrowStruggle Bug,Stone EdgeRock BlastGyro BallFrustration (Shadow)Return (Shadow)
214,Heracross,Bug Fighting,234,179,190,30%,9%,CounterStruggle Bug,MegahornEarthquakeClose CombatRock Blast
215,Sneasel,Dark Ice,189,146,146,20%,7%,Ice ShardFeint Attack,Ice PunchAvalancheFoul PlayFrustration (Shadow)Return (Shadow)
216,Teddiursa,Normal,142,93,155,50%,20%,LickScratch,Cross ChopPlay RoughCrunchFrustration (Shadow)Return (Shadow)
217,Ursaring,Normal,236,144,207,15%,7%,Shadow ClawMetal ClawCounter,Hyper BeamPlay RoughClose CombatFrustration (Shadow)Return (Shadow)
218,Slugma,Fire,118,71,120,30%,10%,EmberRock Throw,Rock SlideFlame ChargeFlame Burst
219,Magcargo,Fire Rock,139,191,137,12.5%,6%,EmberRock ThrowIncinerate,Stone EdgeHeat WaveOverheat
220,Swinub,Ice Ground,90,69,137,30%,10%,TacklePowder Snow,Rock SlideIcy WindBody SlamFrustration (Shadow)Return (Shadow)
221,Piloswine,Ice Ground,181,138,225,12.5%,6%,Ice ShardPowder Snow,Stone EdgeBulldozeAvalancheFrustration (Shadow)Return (Shadow)
222,Corsola,Water Rock,118,156,146,30%,12%,TackleBubble,Bubble BeamPower GemRock Blast
223,Remoraid,Water,127,69,111,50%,10%,Mud ShotWater Gun,Water PulseAurora BeamRock Blast
224,Octillery,Water,197,141,181,15%,7%,Mud ShotWater GunLock-On,Gunk ShotWater PulseAurora BeamAcid SprayOctazooka
225,Delibird,Ice Flying,128,90,128,20%,20%,Present,Ice PunchAerial AceIcy WindFrustration (Shadow)Return (Shadow)
226,Mantine,Water Flying,148,226,163,30%,7%,Wing AttackBubbleBullet Seed,Ice BeamAerial AceBubble BeamWater Pulse
227,Skarmory,Steel Flying,148,226,163,20%,9%,Steel WingAir Slash,Flash CannonBrave BirdSky AttackFrustration (Shadow)Return (Shadow)
228,Houndour,Dark Fire,152,83,128,40%,10%,EmberFeint Attack,Dark PulseFlamethrowerCrunchFrustration (Shadow)Return (Shadow)
229,Houndoom,Dark Fire,224,144,181,15%,6%,Fire FangSnarl,FlamethrowerFire BlastCrunchFoul PlayFrustration (Shadow)Return (Shadow)
230,Kingdra,Water Dragon,194,194,181,10%,5%,Dragon BreathWater Gun (legacy)Waterfall,BlizzardHydro PumpOutrageOctazooka
231,Phanpy,Ground,107,98,207,50%,20%,TackleRock Smash,Rock SlideBulldozeBody Slam
232,Donphan,Ground,214,185,207,12.5%,7%,TackleMud-SlapCounterCharm,EarthquakePlay RoughHeavy Slam
233,Porygon2,Normal,198,180,198,5%,5%,Charge BeamHidden PowerLock-On,Hyper BeamSolar BeamZap CannonFrustration (Shadow)Return (Shadow)Tri Attack
234,Stantler,Normal,192,131,177,30%,8%,TackleZen Headbutt,MegahornStompWild ChargeFrustration (Shadow)Return (Shadow)
235,Smeargle,Normal,40,83,146,25%,7%,,
236,Tyrogue,Fighting,64,64,111,—,20%,TackleRock Smash,Low SweepRock SlideBrick Break
237,Hitmontop,Fighting,173,207,137,10%,5%,Rock SmashCounter,Stone EdgeClose CombatGyro Ball
238,Smoochum,Ice Psychic,153,91,128,25%,20%,Frost Breath (legacy)PoundPowder Snow,Ice PunchIce BeamPsyshock
239,Elekid,Electric,135,101,128,—,20%,Thunder ShockLow Kick,DischargeThunder PunchThunderbolt (legacy)Brick Break
240,Magby,Fire,151,99,128,—,20%,Karate ChopEmber,Flamethrower (legacy)Flame BurstFire PunchBrick Break
241,Miltank,Normal,157,193,216,20%,8%,TackleZen Headbutt,Ice BeamThunderboltStompBody SlamGyro Ball
242,Blissey,Normal,129,169,496,5%,5%,PoundZen Headbutt,Hyper BeamDazzling GleamPsychic
243,Raikou,Electric,241,195,207,2%,4%,Thunder ShockVolt Switch,Shadow BallThunderThunderboltWild ChargeFrustration (Shadow)Return (Shadow)
244,Entei,Fire,235,171,251,2%,4%,Fire FangFire Spin,FlamethrowerIron HeadFlame ChargeFire BlastOverheatFrustration (Shadow)Return (Shadow)
245,Suicune,Water,180,235,225,2%,4%,ExtrasensorySnarlHidden Power (legacy)Ice Fang,Ice BeamBubble BeamWater PulseHydro PumpFrustration (Shadow)Return (Shadow)
246,Larvitar,Rock Ground,115,93,137,40%,10%,BiteRock Smash,Ancient PowerStompCrunchFrustration (Shadow)Return (Shadow)
247,Pupitar,Rock Ground,155,133,172,10%,7%,BiteRock Smash,DigAncient PowerCrunchFrustration (Shadow)Return (Shadow)
248,Tyranitar,Rock Dark,251,207,225,5%,4%,BiteIron TailSmack Down (Community Day),Stone EdgeFire BlastCrunchFrustration (Shadow)Return (Shadow)
249,Lugia,Psychic Flying,193,310,235,2%,4%,Dragon TailExtrasensory,Hydro PumpSky AttackFuture SightAeroblast (legacy)
250,Ho-oh,Fire Flying,239,244,214,2%,4%,Steel WingExtrasensoryHidden PowerIncinerate,Earthquake (legacy)Fire BlastSolar BeamBrave BirdSacred Fire (legacy)
251,Celebi,Psychic Grass,210,210,225,100%,0%,ConfusionCharge BeamMagical Leaf (legacy),Hyper BeamSeed BombDazzling GleamPsychicLeaf Storm
252,Treecko,Grass,124,94,120,20%,10%,PoundBullet Seed,Aerial AceGrass KnotEnergy Ball
253,Grovyle,Grass,172,120,137,10%,7%,Quick AttackBullet Seed,Aerial AceLeaf BladeGrass Knot
254,Sceptile,Grass,223,169,172,5%,5%,Fury CutterBullet Seed,EarthquakeAerial AceDragon ClawLeaf BladeFrenzy Plant (Community Day)
255,Torchic,Fire,130,87,128,20%,10%,EmberScratch,FlamethrowerRock TombFlame Charge
256,Combusken,Fire Fighting,163,115,155,10%,7%,EmberPeck,FlamethrowerRock SlideFlame Charge
257,Blaziken,Fire Fighting,240,141,190,5%,5%,CounterFire Spin,Stone Edge (legacy)Focus BlastBrave BirdOverheatBlast Burn (Community Day)Blaze Kick
258,Mudkip,Water,126,93,137,20%,10%,TackleWater Gun,SludgeDigStompFrustration (Shadow)Return (Shadow)
259,Marshtomp,Water Ground,156,133,172,10%,7%,Mud ShotWater Gun,SludgeMud BombSurfFrustration (Shadow)Return (Shadow)
260,Swampert,Water Ground,208,175,225,5%,5%,Mud ShotWater Gun,EarthquakeSludge WaveSurfHydro Cannon (Community Day)Muddy WaterFrustration (Shadow)Return (Shadow)
261,Poochyena,Dark,96,61,111,50%,20%,TackleSnarl,DigPoison FangCrunch
262,Mightyena,Dark,171,132,172,20%,7%,BiteFire FangThunder FangIce Fang,Poison FangPlay RoughCrunch
263,Zigzagoon,Normal,58,80,116,50%,20%,TackleRock Smash,DigThunderboltGrass KnotFrustration (Shadow)Return (Shadow)
263,Zigzagoon Galarian Zigzagoon,Dark Normal,58,80,116,50%,20%,TackleTake Down,DigSwiftBody SlamFrustration (Shadow)Return (Shadow)
264,Linoone,Normal,142,128,186,20%,7%,Shadow ClawTackle,DigThunderGrass KnotFrustration (Shadow)Return (Shadow)
264,Linoone Galarian Linoone,Dark Normal,142,128,186,20%,7%,LickSnarl,DigGunk ShotBody SlamFrustration (Shadow)Return (Shadow)
265,Wurmple,Bug,75,59,128,50%,20%,Bug BiteTackle,Struggle
266,Silcoon,Bug,60,77,137,25%,9%,Bug BitePoison Sting,Struggle
267,Beautifly,Bug Flying,189,98,155,12.5%,6%,InfestationStruggle Bug,Bug BuzzAir CutterSilver Wind
268,Cascoon,Bug,60,77,137,25%,9%,Bug BitePoison Sting,Struggle
269,Dustox,Bug Poison,98,162,155,12.5%,6%,ConfusionStruggle Bug,Bug BuzzSludge BombSilver Wind
270,Lotad,Water Grass,71,77,120,50%,20%,Razor LeafWater Gun,Bubble BeamEnergy Ball
271,Lombre,Water Grass,112,119,155,25%,9%,Razor LeafBubble,Ice BeamBubble BeamGrass Knot
272,Ludicolo,Water Grass,173,176,190,12.5%,6%,Razor LeafBubble,Ice BeamBlizzardHydro PumpSolar BeamEnergy BallLeaf Storm
273,Seedot,Grass,71,77,120,50%,20%,Quick AttackBullet Seed,Grass KnotEnergy BallFoul PlayFrustration (Shadow)Return (Shadow)
274,Nuzleaf,Grass Dark,134,78,172,25%,9%,Razor LeafFeint Attack,Leaf BladeGrass KnotFoul PlayFrustration (Shadow)Return (Shadow)
275,Shiftry,Grass Dark,200,121,207,12.5%,6%,Razor LeafFeint AttackBullet Seed (Community Day)Snarl,Leaf BladeHurricaneFoul PlayLeaf TornadoFrustration (Shadow)Return (Shadow)
276,Taillow,Normal Flying,106,61,120,50%,20%,PeckQuick Attack,Aerial Ace
277,Swellow,Normal Flying,185,124,155,20%,7%,Wing AttackSteel Wing,Aerial AceBrave BirdSky Attack
278,Wingull,Water Flying,106,61,120,50%,20%,Quick AttackWater Gun,Ice BeamWater PulseAir Cutter
279,Pelipper,Water Flying,175,174,155,20%,7%,Wing AttackWater Gun,BlizzardHydro PumpHurricaneWeather Ball - Water
280,Ralts,Psychic Fairy,79,59,99,40%,9%,ConfusionCharge Beam,PsyshockShadow SneakDisarming VoiceFrustration (Shadow)Return (Shadow)
281,Kirlia,Psychic Fairy,117,90,116,10%,6%,ConfusionCharge Beam,Shadow SneakDisarming VoicePsychicFrustration (Shadow)Return (Shadow)
282,Gardevoir,Psychic Fairy,237,195,169,5%,5%,ConfusionCharge BeamCharm,Shadow BallDazzling GleamPsychicFrustration (Shadow)Return (Shadow)Synchronoise (Community Day)
283,Surskit,Bug Water,93,87,120,50%,20%,Bug BiteBubble,Bubble BeamAqua JetSignal Beam
284,Masquerain,Bug Flying,192,150,172,20%,7%,Air SlashInfestation,Bubble BeamOminous WindAir CutterSilver WindLunge
285,Shroomish,Grass,74,110,155,50%,20%,TackleBullet Seed,Seed BombGrass KnotEnergy Ball
286,Breloom,Grass Fighting,241,144,155,20%,7%,CounterBullet Seed,Seed BombSludge BombDynamic PunchGrass Knot (legacy)
287,Slakoth,Normal,104,92,155,40%,9%,Yawn,Night SlashBrick BreakBody Slam
288,Vigoroth,Normal,159,145,190,10%,6%,ScratchCounter,BulldozeBrick BreakBody Slam
289,Slaking,Normal,290,166,284,5%,5%,Yawn,Hyper BeamEarthquakePlay RoughBody Slam (Community Day)
290,Nincada,Bug Ground,80,126,104,20%,10%,Bug BiteScratch,Aerial AceBug BuzzNight Slash
291,Ninjask,Bug Flying,199,112,156,10%,7%,Fury CutterMetal Claw,Aerial AceBug BuzzShadow Ball
292,Shedinja,Bug Ghost,153,73,1,5%,5%,Bug BiteShadow ClawStruggle Bug (legacy),DigAerial AceShadow Sneak
293,Whismur,Normal,92,42,162,50%,20%,PoundAstonish,FlamethrowerDisarming VoiceStomp
294,Loudred,Normal,134,81,197,25%,9%,BiteRock Smash,FlamethrowerDisarming VoiceStomp
295,Exploud,Normal,179,137,232,12.5%,6%,BiteAstonish,Disarming VoiceFire BlastCrunch
296,Makuhita,Fighting,99,54,176,50%,10%,TackleRock Smash,Cross ChopLow SweepHeavy Slam
297,Hariyama,Fighting,209,114,302,20%,6%,Bullet PunchCounter,Close CombatDynamic PunchHeavy SlamSuperpower
298,Azurill,Normal Fairy,36,71,137,10%,4%,SplashBubble,Ice BeamBubble BeamBody Slam
299,Nosepass,Rock,82,215,102,20%,9%,SparkRock Throw,Rock SlideThunderboltRock BlastFrustration (Shadow)Return (Shadow)
300,Skitty,Normal,84,79,137,50%,10%,TackleFeint Attack,DigDisarming VoiceWild Charge
301,Delcatty,Normal,132,127,172,20%,6%,Zen HeadbuttFeint AttackCharm,Disarming VoicePlay RoughWild Charge
302,Sableye,Dark Ghost,141,136,137,20%,7%,Shadow ClawFeint Attack,Power GemShadow SneakFoul PlayFrustration (Shadow)Return (Shadow)
303,Mawile,Steel Fairy,155,141,137,50%,9%,BiteFire FangAstonishIce Fang,Vise GripIron HeadPlay RoughPower-Up PunchFrustration (Shadow)Return (Shadow)
304,Aron,Steel Rock,121,141,137,50%,20%,TackleMetal Claw,Rock TombIron HeadBody SlamFrustration (Shadow)Return (Shadow)
305,Lairon,Steel Rock,158,198,155,25%,9%,Metal ClawIron Tail,Rock TombRock SlideBody SlamHeavy SlamFrustration (Shadow)Return (Shadow)
306,Aggron,Steel Rock,198,257,172,12.5%,6%,Dragon TailIron TailSmack Down,Stone EdgeThunderHeavy SlamFrustration (Shadow)Return (Shadow)
307,Meditite,Fighting Psychic,78,107,102,50%,10%,ConfusionRock Smash,Ice PunchLow SweepPsyshock
308,Medicham,Fighting Psychic,121,152,155,20%,6%,Psycho CutCounter,Ice PunchPsychicDynamic PunchPower-Up Punch
309,Electrike,Electric,123,78,120,50%,10%,SparkQuick Attack,DischargeThunderboltSwift
310,Manectric,Electric,215,127,172,20%,6%,Charge BeamSnarlThunder Fang,ThunderFlame BurstWild ChargeOverheat
311,Plusle,Electric,167,129,155,30%,9%,SparkQuick Attack,DischargeThunderboltSwiftGrass Knot
312,Minun,Electric,147,150,155,30%,9%,SparkQuick Attack,DischargeThunderboltSwiftGrass Knot
313,Volbeat,Bug,143,166,163,30%,9%,TackleStruggle Bug,Bug BuzzThunderboltSignal Beam
314,Illumise,Bug,143,166,163,30%,9%,TackleStruggle Bug,Bug BuzzDazzling GleamSilver Wind
315,Roselia,Grass Poison,186,131,137,30%,9%,Razor LeafPoison Jab,Petal BlizzardDazzling GleamSludge Bomb
316,Gulpin,Poison,80,99,172,50%,10%,PoundRock Smash,SludgeIce BeamGunk Shot
317,Swalot,Poison,140,159,225,20%,6%,Rock SmashInfestation,Ice BeamSludge BombGunk ShotAcid Spray
318,Carvanha,Water Dark,171,39,128,50%,10%,BiteSnarl,Poison FangAqua JetCrunchFrustration (Shadow)Return (Shadow)
319,Sharpedo,Water Dark,243,83,172,20%,6%,BiteWaterfall,Poison FangHydro PumpCrunchFrustration (Shadow)Return (Shadow)
320,Wailmer,Water,136,68,277,50%,10%,Water GunSplash,Water PulseBody SlamHeavy Slam
321,Wailord,Water,175,87,347,20%,6%,Water GunZen Headbutt,Hyper BeamBlizzardSurf
322,Numel,Fire Ground,119,79,155,50%,10%,EmberTackle,Heat WaveBulldozeStomp
323,Camerupt,Fire Ground,194,136,172,20%,6%,EmberRock Smash,EarthquakeSolar BeamOverheatEarth Power
324,Torkoal,Fire,151,203,172,30%,9%,EmberFire Spin,EarthquakeSolar BeamOverheat
325,Spoink,Psychic,125,122,155,50%,10%,SplashZen Headbutt,PsybeamShadow BallMirror Coat
326,Grumpig,Psychic,171,188,190,20%,6%,Charge BeamExtrasensory,Shadow BallPsychicMirror Coat
327,Spinda,Normal,116,116,155,30%,9%,Sucker PunchPsycho Cut,DigRock TombIcy Wind
328,Trapinch,Ground,162,78,128,40%,9%,Mud ShotStruggle Bug,DigSand TombCrunchFrustration (Shadow)Return (Shadow)
329,Vibrava,Ground Dragon,134,99,137,10%,6%,Dragon BreathMud Shot,Bug BuzzBulldozeSand TombFrustration (Shadow)Return (Shadow)
330,Flygon,Ground Dragon,205,168,190,5%,5%,Mud ShotDragon Tail,EarthquakeStone EdgeDragon ClawEarth Power (Community Day)Frustration (Shadow)Return (Shadow)
331,Cacnea,Grass,156,74,137,50%,10%,Sucker PunchPoison Sting,Seed BombBrick BreakGrass KnotFrustration (Shadow)Return (Shadow)Payback
332,Cacturne,Grass Dark,221,115,172,20%,6%,Sucker PunchPoison Jab,Dark PulseDynamic PunchGrass KnotFrustration (Shadow)Return (Shadow)Payback
333,Swablu,Normal Flying,76,132,128,50%,10%,PeckAstonish,Ice BeamAerial AceDisarming Voice
334,Altaria,Dragon Flying,141,201,181,20%,6%,Dragon BreathPeck,Dragon PulseDazzling GleamMoonblast (Community Day)Sky Attack
335,Zangoose,Normal,222,124,177,30%,9%,Fury CutterShadow Claw,DigNight SlashClose Combat
336,Seviper,Poison,196,118,177,30%,9%,Poison JabIron Tail,WrapPoison FangCrunch
337,Lunatone,Rock Psychic,178,153,207,30%,9%,Rock ThrowConfusion,Rock SlideMoonblastPsychic
338,Solrock,Rock Psychic,178,153,207,30%,9%,Rock ThrowConfusion,Rock SlidePsychicSolar Beam
339,Barboach,Water Ground,93,82,137,50%,10%,Mud ShotWater Gun,Ice BeamAqua TailMud Bomb
340,Whiscash,Water Ground,151,141,242,20%,6%,Mud ShotWater Gun,BlizzardMud BombWater Pulse
341,Corphish,Water,141,99,125,50%,10%,BubbleRock Smash,Vise GripBubble BeamAqua Jet
342,Crawdaunt,Water Dark,224,142,160,20%,6%,SnarlWaterfall,Vise GripNight SlashBubble BeamCrabhammer
343,Baltoy,Ground Psychic,77,124,120,50%,10%,ConfusionExtrasensory,DigPsybeamGyro Ball
344,Claydol,Ground Psychic,140,229,155,20%,6%,Mud-SlapConfusionExtrasensory,EarthquakeIce BeamRock TombShadow BallPsychicGyro BallEarth Power
345,Lileep,Rock Grass,105,150,165,50%,10%,AcidInfestation,Ancient PowerGrass KnotMirror CoatFrustration (Shadow)Return (Shadow)
346,Cradily,Rock Grass,152,194,200,20%,6%,AcidInfestationBullet Seed,Stone EdgeBulldozeGrass KnotFrustration (Shadow)Return (Shadow)
347,Anorith,Rock Bug,176,100,128,50%,10%,ScratchStruggle Bug,Aqua JetAncient PowerCross PoisonFrustration (Shadow)Return (Shadow)
348,Armaldo,Rock Bug,222,174,181,20%,6%,Fury CutterStruggle Bug,Cross PoisonWater PulseRock BlastFrustration (Shadow)Return (Shadow)
349,Feebas,Water,29,85,85,70%,15%,TackleSplash,Mirror Coat
350,Milotic,Water,192,219,216,10%,7%,Dragon TailWaterfall,Hyper BeamBlizzardSurf
351,Castform,Normal,139,139,172,30%,10%,TackleHex,HurricaneEnergy BallWeather Ball - RockWeather Ball - Normal
351,Castform Sunny Form,Fire,139,139,172,30%,10%,EmberTackle,Fire BlastSolar BeamWeather Ball - Fire
351,Castform Rainy Form,Water,139,139,172,30%,10%,TackleWater Gun,ThunderHydro PumpWeather Ball - Water
351,Castform Snowy Form,Ice,139,139,172,30%,10%,TacklePowder Snow,Ice BeamBlizzardWeather Ball - Ice
353,Shuppet,Ghost,138,65,127,40%,10%,Feint AttackAstonish,Shadow SneakOminous WindNight ShadeFrustration (Shadow)Return (Shadow)
354,Banette,Ghost,218,126,162,20%,7%,Shadow ClawHex,Shadow BallThunderDazzling GleamFrustration (Shadow)Return (Shadow)
355,Duskull,Ghost,70,162,85,40%,10%,AstonishHex,Shadow SneakOminous WindNight ShadeFrustration (Shadow)Return (Shadow)
356,Dusclops,Ghost,124,234,120,20%,7%,Feint AttackHex,Ice PunchShadow PunchFire PunchFrustration (Shadow)Return (Shadow)
357,Tropius,Grass Flying,136,163,223,30%,10%,Razor LeafAir Slash,Aerial AceLeaf BladeStomp
358,Chimecho,Psychic,175,170,181,30%,10%,AstonishExtrasensory,PsyshockShadow BallEnergy Ball
359,Absol,Dark,246,120,163,50%,10%,Psycho CutSnarl,Dark PulseMegahornThunderFrustration (Shadow)Return (Shadow)Payback
360,Wynaut,Psychic,41,86,216,30%,10%,SplashCounter,Mirror Coat
361,Snorunt,Ice,95,95,137,50%,10%,Powder SnowHex,Shadow BallIcy WindAvalanche
362,Glalie,Ice,162,162,190,20%,6%,Ice ShardFrost Breath,Shadow BallAvalancheGyro Ball
363,Spheal,Ice Water,95,90,172,50%,10%,Water GunRock Smash,Water PulseBody SlamAurora BeamFrustration (Shadow)Return (Shadow)
